Filters (ALL required): ['', 'aten/src/ATen/native']
Files matched: 465
0/26   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/q8gemm_sparse/8x4c1x4-dq-packedA-sse2.h
0/18   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/q8vadd/sse2.c
0/2   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/qnnpack/AlignedAllocator.h
0/8   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/qnnpack/math.h
0/0 100.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/qnnpack/operator.h
0/116   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/qnnpack/pack.h
0/28   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/qnnpack/requantization.h
0/0 100.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/qnnpack/scalar-utils.h
0/0 100.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/requantization/runtime-sse2.h
0/32   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/sigmoid.c
0/26   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/softargmax.c
0/32   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/tanh.c
0/14   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/u8clamp/sse2.c
0/6   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/u8lut32norm/scalar.c
0/42   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/u8maxpool/16x9p8q-sse2.c
0/20   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/u8maxpool/sub16-sse2.c
0/10   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/u8rmax/sse2.c
0/4   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/x8lut/scalar.c
0/8   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/x8zip/x2-sse2.c
0/8   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/x8zip/x3-sse2.c
0/8   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/x8zip/x4-sse2.c
0/24   0.00% aten/src/ATen/native/quantized/cpu/qnnpack/src/x8zip/xm-sse2.c
0/30   0.00% aten/src/ATen/native/quantized/cpu/qnormalization.cpp
0/24   0.00% aten/src/ATen/native/quantized/cpu/qrelu.cpp
0/20   0.00% aten/src/ATen/native/quantized/cpu/qsigmoid.cpp
0/28   0.00% aten/src/ATen/native/quantized/cpu/qsoftmax.cpp
0/16   0.00% aten/src/ATen/native/quantized/cpu/qtanh.cpp
0/0 100.00% aten/src/ATen/native/quantized/cpu/qthreshold.cpp
0/0 100.00% aten/src/ATen/native/quantized/library.cpp
0/16   0.00% aten/src/ATen/native/quantized/qconv_unpack.cpp
0/2   0.00% aten/src/ATen/native/quantized/qlinear_unpack.cpp
0/14   0.00% aten/src/ATen/native/sparse/FlattenIndicesCommon.h
0/0 100.00% aten/src/ATen/native/sparse/FlattenIndicesKernel.cpp
0/6   0.00% aten/src/ATen/native/sparse/ParamUtils.cpp
0/104   0.00% aten/src/ATen/native/sparse/SoftMax.cpp
0/60   0.00% aten/src/ATen/native/sparse/SparseBinaryOpIntersectionCommon.h
0/4   0.00% aten/src/ATen/native/sparse/SparseBinaryOpIntersectionKernel.cpp
0/78   0.00% aten/src/ATen/native/sparse/SparseBlas.cpp
0/84   0.00% aten/src/ATen/native/sparse/SparseBlasImpl.cpp
0/196   0.00% aten/src/ATen/native/sparse/SparseCsrTensor.cpp
0/236   0.00% aten/src/ATen/native/sparse/SparseCsrTensorMath.cpp
0/22   0.00% aten/src/ATen/native/sparse/SparseCsrTensorMath.h
0/34   0.00% aten/src/ATen/native/sparse/SparseFactories.cpp
0/38   0.00% aten/src/ATen/native/sparse/SparseMatMul.cpp
0/182   0.00% aten/src/ATen/native/sparse/SparseTensor.cpp
0/518   0.00% aten/src/ATen/native/sparse/SparseTensorMath.cpp
0/30   0.00% aten/src/ATen/native/sparse/SparseUnaryOps.cpp
0/28   0.00% aten/src/ATen/native/sparse/ValidateCompressedIndicesCommon.h
0/0 100.00% aten/src/ATen/native/sparse/ValidateCompressedIndicesKernel.cpp
0/284   0.00% aten/src/ATen/native/transformers/attention.cpp
0/28   0.00% aten/src/ATen/native/transformers/sdp_utils_cpp.cpp
0/78   0.00% aten/src/ATen/native/transformers/sdp_utils_cpp.h
0/26   0.00% aten/src/ATen/native/transformers/transformer.cpp
0/0 100.00% aten/src/ATen/native/ufunc/add.h
0/4   0.00% aten/src/ATen/native/utils/Factory.cpp
0/4   0.00% aten/src/ATen/native/utils/ParamUtils.h
0/0 100.00% aten/src/ATen/native/utils/ParamsHash.h
0/0 100.00% aten/src/ATen/native/verbose_wrapper.cpp
0/40   0.00% aten/src/ATen/native/vol2col.h
0/18   0.00% aten/src/ATen/native/xnnpack/Activation.cpp
0/16   0.00% aten/src/ATen/native/xnnpack/AveragePooling.cpp
0/28   0.00% aten/src/ATen/native/xnnpack/ChannelShuffle.cpp
0/4   0.00% aten/src/ATen/native/xnnpack/Common.h
0/116   0.00% aten/src/ATen/native/xnnpack/Convolution.cpp
0/14   0.00% aten/src/ATen/native/xnnpack/Init.cpp
0/62   0.00% aten/src/ATen/native/xnnpack/Linear.cpp
0/58   0.00% aten/src/ATen/native/xnnpack/MaxPooling.cpp
0/18   0.00% aten/src/ATen/native/xnnpack/OpContext.cpp
0/6   0.00% aten/src/ATen/native/xnnpack/OpContext.h
0/4   0.00% aten/src/ATen/native/xnnpack/Pooling.h
0/0 100.00% aten/src/ATen/native/xnnpack/RegisterOpContextClass.cpp
